"country","year","age_group","occupation","earn_F","earn_M","gender_pay_gap","panel_id","young","senior","high_skill","managerial","year_2014","year_2018","year_2022"
"AL",2018,"Mid Career","Agriculture",114433.333333333,142019.666666667,19.4243050845071,"AL_Mid Career_Agriculture",0,0,0,0,0,1,0
"AL",2018,"Mid Career","Clerical",245513.666666667,247603.666666667,0.844090892568904,"AL_Mid Career_Clerical",0,0,0,0,0,1,0
"AL",2018,"Mid Career","Craft",123480.666666667,171314,27.9214386059127,"AL_Mid Career_Craft",0,0,0,0,0,1,0
"AL",2018,"Mid Career","Elementary",131807,139335.666666667,5.4032587971015,"AL_Mid Career_Elementary",0,0,0,0,0,1,0
"AL",2018,"Mid Career","Managers",467681.333333333,445626,-4.94929230640344,"AL_Mid Career_Managers",0,0,1,1,0,1,0
"AL",2018,"Mid Career","Operators",126824.333333333,180711,29.8192509956044,"AL_Mid Career_Operators",0,0,0,0,0,1,0
"AL",2018,"Mid Career","Professionals",272406,326668.333333333,16.6108336181958,"AL_Mid Career_Professionals",0,0,1,0,0,1,0
"AL",2018,"Mid Career","Service",139291.666666667,159134,12.4689465062987,"AL_Mid Career_Service",0,0,0,0,0,1,0
"AL",2018,"Mid Career","Technicians",260176,281478.666666667,7.56812831286206,"AL_Mid Career_Technicians",0,0,0,0,0,1,0
"AL",2018,"Senior","Agriculture",106091.333333333,137136.333333333,22.6380560464161,"AL_Senior_Agriculture",0,1,0,0,0,1,0
"AL",2018,"Senior","Clerical",212938.666666667,221051,3.6698921666644,"AL_Senior_Clerical",0,1,0,0,0,1,0
"AL",2018,"Senior","Craft",124714.333333333,189475.333333333,34.1791191817404,"AL_Senior_Craft",0,1,0,0,0,1,0
"AL",2018,"Senior","Elementary",140036.333333333,146337.666666667,4.30602282848119,"AL_Senior_Elementary",0,1,0,0,0,1,0
"AL",2018,"Senior","Managers",409227.333333333,412988.666666667,0.910759455868827,"AL_Senior_Managers",0,1,1,1,0,1,0
"AL",2018,"Senior","Operators",126282.333333333,192525.333333333,34.4074199758993,"AL_Senior_Operators",0,1,0,0,0,1,0
"AL",2018,"Senior","Professionals",258268.333333333,318177.333333333,18.8288082536783,"AL_Senior_Professionals",0,1,1,0,0,1,0
"AL",2018,"Senior","Service",142672,156637.333333333,8.91571187796863,"AL_Senior_Service",0,1,0,0,0,1,0
"AL",2018,"Senior","Technicians",234467.666666667,276627.333333333,15.2406004709103,"AL_Senior_Technicians",0,1,0,0,0,1,0
"AL",2018,"Young","Agriculture",106175,125601,15.4664373691292,"AL_Young_Agriculture",1,0,0,0,0,1,0
"AL",2018,"Young","Clerical",232229.333333333,236363.666666667,1.74914080139222,"AL_Young_Clerical",1,0,0,0,0,1,0
"AL",2018,"Young","Craft",121288,149374.333333333,18.8026501652448,"AL_Young_Craft",1,0,0,0,0,1,0
"AL",2018,"Young","Elementary",125896.666666667,138620.333333333,9.1787881046792,"AL_Young_Elementary",1,0,0,0,0,1,0
"AL",2018,"Young","Managers",309338.333333333,297814.333333333,-3.86952497249405,"AL_Young_Managers",1,0,1,1,0,1,0
"AL",2018,"Young","Operators",122273,159860.666666667,23.5127673682499,"AL_Young_Operators",1,0,0,0,0,1,0
