"country","year","sector","occupation","earn_F","earn_M","gender_pay_gap","panel_id","industry","construction","services","public_sector","high_skill","managerial","year_2014","year_2018","year_2022"
"AL",2018,"Admin Services","Clerical",262692,266325,1.36412278231484,"AL_Admin Services_Clerical",0,0,1,0,0,0,0,1,0
"AL",2018,"Admin Services","Elementary",130047.666666667,135628.333333333,4.11467613699202,"AL_Admin Services_Elementary",0,0,1,0,0,0,0,1,0
"AL",2018,"Admin Services","Managers",443162,401812,-10.2908823031667,"AL_Admin Services_Managers",0,0,1,0,1,1,0,1,0
"AL",2018,"Admin Services","Professionals",293007.666666667,277574.333333333,-5.56007219687696,"AL_Admin Services_Professionals",0,0,1,0,1,0,0,1,0
"AL",2018,"Admin Services","Service",181324.666666667,177025.333333333,-2.42865427923689,"AL_Admin Services_Service",0,0,1,0,0,0,0,1,0
"AL",2018,"Admin Services","Technicians",238844,277332.333333333,13.8780548487555,"AL_Admin Services_Technicians",0,0,1,0,0,0,0,1,0
"AL",2018,"Arts","Clerical",255442.666666667,169965,-50.2913344904343,"AL_Arts_Clerical",0,0,0,0,0,0,0,1,0
"AL",2018,"Arts","Elementary",134520.666666667,141291.333333333,4.79199007252155,"AL_Arts_Elementary",0,0,0,0,0,0,0,1,0
"AL",2018,"Arts","Professionals",264483.666666667,286233,7.5984716414017,"AL_Arts_Professionals",0,0,0,0,1,0,0,1,0
"AL",2018,"Construction","Clerical",176491.666666667,196358,10.1174046045149,"AL_Construction_Clerical",0,1,0,0,0,0,0,1,0
"AL",2018,"Construction","Craft",127067.333333333,151349,16.043493294747,"AL_Construction_Craft",0,1,0,0,0,0,0,1,0
"AL",2018,"Construction","Elementary",121046.666666667,130821.333333333,7.47176811121531,"AL_Construction_Elementary",0,1,0,0,0,0,0,1,0
"AL",2018,"Construction","Managers",425224.666666667,290687,-46.2826568324922,"AL_Construction_Managers",0,1,0,0,1,1,0,1,0
"AL",2018,"Construction","Operators",125927.666666667,206791.666666667,39.1040902679831,"AL_Construction_Operators",0,1,0,0,0,0,0,1,0
"AL",2018,"Construction","Professionals",230758.666666667,275060.333333333,16.1061633750656,"AL_Construction_Professionals",0,1,0,0,1,0,0,1,0
"AL",2018,"Construction","Service",129485.666666667,117949,-9.7810635670219,"AL_Construction_Service",0,1,0,0,0,0,0,1,0
"AL",2018,"Construction","Technicians",235691,275268,14.3776247148234,"AL_Construction_Technicians",0,1,0,0,0,0,0,1,0
"AL",2018,"Education Sector","Elementary",163853,181729.666666667,9.83695562456323,"AL_Education Sector_Elementary",0,0,0,1,0,0,0,1,0
"AL",2018,"Education Sector","Managers",300734.333333333,341686,11.9851754729976,"AL_Education Sector_Managers",0,0,0,1,1,1,0,1,0
"AL",2018,"Education Sector","Professionals",253178.666666667,279541.333333333,9.43068645781662,"AL_Education Sector_Professionals",0,0,0,1,1,0,0,1,0
"AL",2018,"Education Sector","Service",160383.666666667,169546.333333333,5.4042257868547,"AL_Education Sector_Service",0,0,0,1,0,0,0,1,0
"AL",2018,"Education Sector","Technicians",216157,308200.666666667,29.8648499570626,"AL_Education Sector_Technicians",0,0,0,1,0,0,0,1,0
"AL",2018,"Electricity","Elementary",280569.666666667,242021.333333333,-15.9276592697062,"AL_Electricity_Elementary",1,0,0,0,0,0,0,1,0
"AL",2018,"Electricity","Professionals",356527,407141,12.4315654773162,"AL_Electricity_Professionals",1,0,0,0,1,0,0,1,0
"AL",2018,"Electricity","Technicians",341996,358013,4.47385988776944,"AL_Electricity_Technicians",1,0,0,0,0,0,0,1,0
"AL",2018,"Finance","Elementary",196205.333333333,128297,-52.9305699535713,"AL_Finance_Elementary",0,0,1,0,0,0,0,1,0
"AL",2018,"Finance","Managers",928158.333333333,981323,5.41765215598399,"AL_Finance_Managers",0,0,1,0,1,1,0,1,0
"AL",2018,"Finance","Professionals",450385.333333333,459670.333333333,2.01992587441289,"AL_Finance_Professionals",0,0,1,0,1,0,0,1,0
"AL",2018,"Finance","Service",161709.333333333,267275,39.4970224176098,"AL_Finance_Service",0,0,1,0,0,0,0,1,0
"AL",2018,"Finance","Technicians",378244.333333333,312999,-20.8452210177455,"AL_Finance_Technicians",0,0,1,0,0,0,0,1,0
"AL",2018,"Health","Clerical",184481,219858.333333333,16.0909676685745,"AL_Health_Clerical",0,0,0,1,0,0,0,1,0
"AL",2018,"Health","Elementary",172121.666666667,185577.666666667,7.25087250082176,"AL_Health_Elementary",0,0,0,1,0,0,0,1,0
"AL",2018,"Health","Managers",355648.666666667,370185,3.92677535106322,"AL_Health_Managers",0,0,0,1,1,1,0,1,0
"AL",2018,"Health","Professionals",230426.666666667,300372.666666667,23.2864064417756,"AL_Health_Professionals",0,0,0,1,1,0,0,1,0
"AL",2018,"Health","Service",175683.333333333,180431,2.63129210981854,"AL_Health_Service",0,0,0,1,0,0,0,1,0
"AL",2018,"Health","Technicians",210193.666666667,214468.666666667,1.99329816632111,"AL_Health_Technicians",0,0,0,1,0,0,0,1,0
"AL",2018,"Hospitality","Elementary",120254.333333333,126115,4.64708136753491,"AL_Hospitality_Elementary",0,0,1,0,0,0,0,1,0
"AL",2018,"Hospitality","Service",127374.666666667,119718.333333333,-6.39528894210019,"AL_Hospitality_Service",0,0,1,0,0,0,0,1,0
"AL",2018,"IT","Clerical",245296.333333333,224198,-9.41058052852091,"AL_IT_Clerical",0,0,1,0,0,0,0,1,0
"AL",2018,"IT","Managers",623516,646911.333333333,3.61646675948377,"AL_IT_Managers",0,0,1,0,1,1,0,1,0
"AL",2018,"IT","Professionals",364071.666666667,401688.333333333,9.36464008165536,"AL_IT_Professionals",0,0,1,0,1,0,0,1,0
"AL",2018,"IT","Service",194481,259128.666666667,24.9480952834242,"AL_IT_Service",0,0,1,0,0,0,0,1,0
"AL",2018,"IT","Technicians",259365.333333333,284799,8.93039184360433,"AL_IT_Technicians",0,0,1,0,0,0,0,1,0
"AL",2018,"Manufacturing","Agriculture",104953,125006.666666667,16.042077755853,"AL_Manufacturing_Agriculture",1,0,0,0,0,0,0,1,0
"AL",2018,"Manufacturing","Clerical",171678.333333333,204286,15.9617725476375,"AL_Manufacturing_Clerical",1,0,0,0,0,0,0,1,0
"AL",2018,"Manufacturing","Craft",120273.666666667,144927,17.0108629401929,"AL_Manufacturing_Craft",1,0,0,0,0,0,0,1,0
"AL",2018,"Manufacturing","Elementary",126324,130517.333333333,3.21285550833606,"AL_Manufacturing_Elementary",1,0,0,0,0,0,0,1,0
"AL",2018,"Manufacturing","Managers",374770,433890.333333333,13.625639658562,"AL_Manufacturing_Managers",1,0,0,0,1,1,0,1,0
"AL",2018,"Manufacturing","Operators",122403.666666667,139051.333333333,11.9723171778288,"AL_Manufacturing_Operators",1,0,0,0,0,0,0,1,0
"AL",2018,"Manufacturing","Professionals",232559.666666667,288928.333333333,19.5095669629724,"AL_Manufacturing_Professionals",1,0,0,0,1,0,0,1,0
"AL",2018,"Manufacturing","Service",117673.666666667,123773.666666667,4.92835040302057,"AL_Manufacturing_Service",1,0,0,0,0,0,0,1,0
"AL",2018,"Manufacturing","Technicians",222421.333333333,229128.666666667,2.92732176680935,"AL_Manufacturing_Technicians",1,0,0,0,0,0,0,1,0
"AL",2018,"Mining","Operators",161949,276034,41.3300535441286,"AL_Mining_Operators",1,0,0,0,0,0,0,1,0
"AL",2018,"Mining","Professionals",276436.333333333,722567.666666667,61.7424988570851,"AL_Mining_Professionals",1,0,0,0,1,0,0,1,0
"AL",2018,"Other Services","Clerical",312294.666666667,227966.333333333,-36.9915733171126,"AL_Other Services_Clerical",0,0,0,0,0,0,0,1,0
"AL",2018,"Other Services","Craft",111278.666666667,247425.666666667,55.0254150404768,"AL_Other Services_Craft",0,0,0,0,0,0,0,1,0
"AL",2018,"Other Services","Elementary",122332,132226.333333333,7.48287658282894,"AL_Other Services_Elementary",0,0,0,0,0,0,0,1,0
"AL",2018,"Other Services","Managers",468061.666666667,338573,-38.2454202392591,"AL_Other Services_Managers",0,0,0,0,1,1,0,1,0
"AL",2018,"Other Services","Operators",115238.333333333,200961.333333333,42.6564645935205,"AL_Other Services_Operators",0,0,0,0,0,0,0,1,0
"AL",2018,"Other Services","Professionals",303861.333333333,319269.333333333,4.82601941098842,"AL_Other Services_Professionals",0,0,0,0,1,0,0,1,0
"AL",2018,"Other Services","Service",120171,163826,26.6471744411754,"AL_Other Services_Service",0,0,0,0,0,0,0,1,0
"AL",2018,"Other Services","Technicians",237640.333333333,242799,2.12466553266969,"AL_Other Services_Technicians",0,0,0,0,0,0,0,1,0
"AL",2018,"Professional","Clerical",217539.666666667,273402.333333333,20.4324030397205,"AL_Professional_Clerical",0,0,1,0,0,0,0,1,0
"AL",2018,"Professional","Professionals",306674,329822.333333333,7.01842507127576,"AL_Professional_Professionals",0,0,1,0,1,0,0,1,0
"AL",2018,"Professional","Technicians",198884.333333333,200339.333333333,0.726267765690878,"AL_Professional_Technicians",0,0,1,0,0,0,0,1,0
