"country","year","sector","education","earn_F","earn_M","gender_pay_gap","panel_id","medium_edu","high_edu","industry","construction","services","public_sector","year_2014","year_2018","year_2022"
"AL",2018,"Admin Services","High Education",265116,278549.666666667,4.82271862947241,"AL_Admin Services_High Education",0,1,0,0,1,0,0,1,0
"AL",2018,"Admin Services","Low Education",141489.333333333,179945.666666667,21.3710805298637,"AL_Admin Services_Low Education",0,0,0,0,1,0,0,1,0
"AL",2018,"Admin Services","Medium Education",175108.333333333,177466.333333333,1.32870272107949,"AL_Admin Services_Medium Education",1,0,0,0,1,0,0,1,0
"AL",2018,"Arts","High Education",268239.666666667,246531.333333333,-8.80550680508497,"AL_Arts_High Education",0,1,0,0,0,0,0,1,0
"AL",2018,"Arts","Medium Education",165798.333333333,204428.666666667,18.896730073734,"AL_Arts_Medium Education",1,0,0,0,0,0,0,1,0
"AL",2018,"Construction","High Education",240774.333333333,262988.333333333,8.44676253065725,"AL_Construction_High Education",0,1,0,1,0,0,0,1,0
"AL",2018,"Construction","Low Education",113424.333333333,125965.666666667,9.95615207318395,"AL_Construction_Low Education",0,0,0,1,0,0,0,1,0
"AL",2018,"Construction","Medium Education",134046.666666667,170660,21.4539630454315,"AL_Construction_Medium Education",1,0,0,1,0,0,0,1,0
"AL",2018,"Education Sector","High Education",254049.333333333,287388.333333333,11.6006796842832,"AL_Education Sector_High Education",0,1,0,0,0,1,0,1,0
"AL",2018,"Education Sector","Low Education",133770.333333333,156221.666666667,14.3714593579636,"AL_Education Sector_Low Education",0,0,0,0,0,1,0,1,0
"AL",2018,"Education Sector","Medium Education",166921.666666667,184137.333333333,9.3493624323874,"AL_Education Sector_Medium Education",1,0,0,0,0,1,0,1,0
"AL",2018,"Electricity","High Education",356565,414987,14.0780313600185,"AL_Electricity_High Education",0,1,1,0,0,0,0,1,0
"AL",2018,"Electricity","Medium Education",292100.333333333,276756.666666667,-5.54410011201178,"AL_Electricity_Medium Education",1,0,1,0,0,0,0,1,0
"AL",2018,"Finance","High Education",456926,499711.666666667,8.56207079415796,"AL_Finance_High Education",0,1,0,0,1,0,0,1,0
"AL",2018,"Finance","Medium Education",199010.666666667,266357.333333333,25.2843298225942,"AL_Finance_Medium Education",1,0,0,0,1,0,0,1,0
"AL",2018,"Health","High Education",232041,295322,21.4277974549813,"AL_Health_High Education",0,1,0,0,0,1,0,1,0
"AL",2018,"Health","Low Education",176435.333333333,196976.666666667,10.428307921412,"AL_Health_Low Education",0,0,0,0,0,1,0,1,0
"AL",2018,"Health","Medium Education",177130,206110,14.0604531560817,"AL_Health_Medium Education",1,0,0,0,0,1,0,1,0
"AL",2018,"Hospitality","High Education",178813,174452,-2.49982803292596,"AL_Hospitality_High Education",0,1,0,0,1,0,0,1,0
"AL",2018,"Hospitality","Low Education",114615.666666667,114725.333333333,0.0955906280507816,"AL_Hospitality_Low Education",0,0,0,0,1,0,0,1,0
"AL",2018,"Hospitality","Medium Education",125188.333333333,124900.666666667,-0.230316358065892,"AL_Hospitality_Medium Education",1,0,0,0,1,0,0,1,0
"AL",2018,"IT","High Education",322838,378058.333333333,14.6062997332863,"AL_IT_High Education",0,1,0,0,1,0,0,1,0
"AL",2018,"IT","Low Education",124814.666666667,152969.333333333,18.4054320255912,"AL_IT_Low Education",0,0,0,0,1,0,0,1,0
"AL",2018,"IT","Medium Education",181139,206585,12.3174480238159,"AL_IT_Medium Education",1,0,0,0,1,0,0,1,0
"AL",2018,"Manufacturing","High Education",231187,302416,23.5533172847997,"AL_Manufacturing_High Education",0,1,1,0,0,0,0,1,0
"AL",2018,"Manufacturing","Low Education",116878,128789,9.24846066046013,"AL_Manufacturing_Low Education",0,0,1,0,0,0,0,1,0
"AL",2018,"Manufacturing","Medium Education",125033.666666667,147791,15.3983215035647,"AL_Manufacturing_Medium Education",1,0,1,0,0,0,0,1,0
"AL",2018,"Mining","High Education",316052.666666667,592341.333333333,46.6434893394799,"AL_Mining_High Education",0,1,1,0,0,0,0,1,0
"AL",2018,"Mining","Medium Education",174789.666666667,312150.666666667,44.0047114000504,"AL_Mining_Medium Education",1,0,1,0,0,0,0,1,0
"AL",2018,"Other Services","High Education",302304.333333333,312963.666666667,3.40593317009107,"AL_Other Services_High Education",0,1,0,0,0,0,0,1,0
"AL",2018,"Other Services","Low Education",109778,142443.666666667,22.9323405041993,"AL_Other Services_Low Education",0,0,0,0,0,0,0,1,0
"AL",2018,"Other Services","Medium Education",123833.333333333,164721.666666667,24.8226806835773,"AL_Other Services_Medium Education",1,0,0,0,0,0,0,1,0
"AL",2018,"Professional","High Education",282082,325669,13.3838345068152,"AL_Professional_High Education",0,1,0,0,1,0,0,1,0
"AL",2018,"Professional","Medium Education",173284,193654,10.5187602631497,"AL_Professional_Medium Education",1,0,0,0,1,0,0,1,0
"AL",2018,"Real Estate","High Education",233170.333333333,317922.333333333,26.658083158675,"AL_Real Estate_High Education",0,1,0,0,1,0,0,1,0
"AL",2018,"Real Estate","Medium Education",126585.333333333,154962.666666667,18.3123677100721,"AL_Real Estate_Medium Education",1,0,0,0,1,0,0,1,0
"AL",2018,"Trade","High Education",196866.333333333,245980,19.966528444047,"AL_Trade_High Education",0,1,0,0,1,0,0,1,0
"AL",2018,"Trade","Low Education",132911,132898.666666667,-0.00928025362683075,"AL_Trade_Low Education",0,0,0,0,1,0,0,1,0
"AL",2018,"Trade","Medium Education",124756.333333333,149496.333333333,16.5489008649041,"AL_Trade_Medium Education",1,0,0,0,1,0,0,1,0
"AL",2018,"Transport","High Education",240717.666666667,342282.666666667,29.6728434977718,"AL_Transport_High Education",0,1,0,0,1,0,0,1,0
"AL",2018,"Transport","Low Education",160061.333333333,170240.333333333,5.9791941196857,"AL_Transport_Low Education",0,0,0,0,1,0,0,1,0
"AL",2018,"Transport","Medium Education",171217,189925,9.85020402790575,"AL_Transport_Medium Education",1,0,0,0,1,0,0,1,0
"AL",2018,"Water","High Education",228013.666666667,240710.333333333,5.2746662309193,"AL_Water_High Education",0,1,1,0,0,0,0,1,0
"AL",2018,"Water","Low Education",120419.666666667,131571,8.47552525505875,"AL_Water_Low Education",0,0,1,0,0,0,0,1,0
"AL",2018,"Water","Medium Education",145474,160169,9.17468423977174,"AL_Water_Medium Education",1,0,1,0,0,0,0,1,0
"AL",2022,"Admin Services","High Education",362323.166666667,407890.5,11.1714622756189,"AL_Admin Services_High Education",0,1,0,0,1,0,0,0,1
"AL",2022,"Admin Services","Low Education",197851.333333333,198855,0.504722871774251,"AL_Admin Services_Low Education",0,0,0,0,1,0,0,0,1
"AL",2022,"Admin Services","Medium Education",230640.666666667,217775.666666667,-5.90745522533127,"AL_Admin Services_Medium Education",1,0,0,0,1,0,0,0,1
"AL",2022,"Arts","High Education",361795,436913.333333333,17.192959702153,"AL_Arts_High Education",0,1,0,0,0,0,0,0,1
"AL",2022,"Arts","Low Education",175914.666666667,166515,-5.64493689257225,"AL_Arts_Low Education",0,0,0,0,0,0,0,0,1
"AL",2022,"Arts","Medium Education",202410.333333333,221048.666666667,8.43177822078398,"AL_Arts_Medium Education",1,0,0,0,0,0,0,0,1
"AL",2022,"Construction","High Education",299442.166666667,333092.333333333,10.1023540019434,"AL_Construction_High Education",0,1,0,1,0,0,0,0,1
"AL",2022,"Construction","Low Education",149376,177690.666666667,15.9348080559474,"AL_Construction_Low Education",0,0,0,1,0,0,0,0,1
"AL",2022,"Construction","Medium Education",170450.333333333,183645.333333333,7.18504508690665,"AL_Construction_Medium Education",1,0,0,1,0,0,0,0,1
"AL",2022,"Education Sector","High Education",312104,378633.666666667,17.5709854996166,"AL_Education Sector_High Education",0,1,0,0,0,1,0,0,1
"AL",2022,"Education Sector","Low Education",164231,167433.333333333,1.91260203065896,"AL_Education Sector_Low Education",0,0,0,0,0,1,0,0,1
"AL",2022,"Education Sector","Medium Education",201247.333333333,227687.666666667,11.6125452557085,"AL_Education Sector_Medium Education",1,0,0,0,0,1,0,0,1
"AL",2022,"Electricity","Medium Education",307403.333333333,270975.333333333,-13.44329004116,"AL_Electricity_Medium Education",1,0,1,0,0,0,0,0,1
"AL",2022,"Finance","High Education",700208,713475,1.85949052174218,"AL_Finance_High Education",0,1,0,0,1,0,0,0,1
"AL",2022,"Finance","Medium Education",220775.333333333,348997,36.7400483862803,"AL_Finance_Medium Education",1,0,0,0,1,0,0,0,1
"AL",2022,"Health","High Education",312566.666666667,364064,14.1451319914447,"AL_Health_High Education",0,1,0,0,0,1,0,0,1
"AL",2022,"Health","Low Education",246773.333333333,221167,-11.5778273129958,"AL_Health_Low Education",0,0,0,0,0,1,0,0,1
"AL",2022,"Health","Medium Education",216204.666666667,251572.666666667,14.0587610206726,"AL_Health_Medium Education",1,0,0,0,0,1,0,0,1
"AL",2022,"Hospitality","High Education",239358.333333333,274329.5,12.7478695024293,"AL_Hospitality_High Education",0,1,0,0,1,0,0,0,1
"AL",2022,"Hospitality","Low Education",152192.666666667,155109.333333333,1.88039404463086,"AL_Hospitality_Low Education",0,0,0,0,1,0,0,0,1
"AL",2022,"Hospitality","Medium Education",171750.166666667,184751.666666667,7.03728428250534,"AL_Hospitality_Medium Education",1,0,0,0,1,0,0,0,1
"AL",2022,"IT","High Education",461376.833333333,612017.5,24.6137841919008,"AL_IT_High Education",0,1,0,0,1,0,0,0,1
"AL",2022,"IT","Low Education",215605.666666667,276318,21.9719067644284,"AL_IT_Low Education",0,0,0,0,1,0,0,0,1
"AL",2022,"IT","Medium Education",199214.666666667,253764,21.4960882289581,"AL_IT_Medium Education",1,0,0,0,1,0,0,0,1
"AL",2022,"Manufacturing","High Education",308006,446998.166666667,31.094571976246,"AL_Manufacturing_High Education",0,1,1,0,0,0,0,0,1
"AL",2022,"Manufacturing","Low Education",174760.666666667,176163.666666667,0.796418482055513,"AL_Manufacturing_Low Education",0,0,1,0,0,0,0,0,1
"AL",2022,"Manufacturing","Medium Education",181817.333333333,207968.666666667,12.5746506685302,"AL_Manufacturing_Medium Education",1,0,1,0,0,0,0,0,1
