quantile,variable,estimate
0.1,construction,2.16413965164717
0.25,construction,2.0203513369263
0.5,construction,1.4780242155918
0.75,construction,0.5551019711941017
0.9,construction,1.0995269681429924
0.1,high_skill,5.19795962364697
0.25,high_skill,4.0901501189743295
0.5,high_skill,3.02080745561868
0.75,high_skill,1.7265140319406989
0.9,high_skill,0.25844823785309856
0.1,industry,2.1383584764854
0.25,industry,1.8695565674857781
0.5,industry,2.4999044454428
0.75,industry,2.5522175194418004
0.9,industry,1.8512119412960963
0.1,managerial,-1.443374198895598
0.25,managerial,1.1249765752969796
0.5,managerial,3.867981689633421
0.75,managerial,6.029965969553999
0.9,managerial,8.277146831928203
0.1,public_sector,-0.5973902399207215
0.25,public_sector,-2.454180348767011
0.5,public_sector,-3.2362574980600307
0.75,public_sector,-3.196787312717598
0.9,public_sector,-1.2679671228046026
